Song Name,Song name (in Japanese/Special Characters),Artist Name,Artist Credit,Genre,Lowest BPM,Highest BPM,Game Origin,Version,Removed ?,Licensed ?,Cover ?,SP-Beginner,SPB NC,SP-Normal,SPN NC,SP-Hyper,SPH NC,SP-Another,SPA NC,SP-Leggendaria,SPL NC,DP-Normal,DPN NC,DP-Hyper,DPH NC,DP-Another,DPA NC,DP-Leggendaria,DPL NC
been so long,n/a,m-flo,"Taku Takahashi, Verbal, Lisa",Japanese Hip Hop,96.00,96.00,IIDX,1st style,Yes,Yes,No,0,0,0,0,3,210,0,0,0,0,0,0,0,0,0,0,0,0
The Rhyme Brokers,n/a,m-flo,"Taku Takahashi, Verbal, Lisa",Japanese Hip Hop,91.00,91.00,IIDX,1st style,Yes,Yes,No,0,0,0,0,4,307,*,358,0,0,0,0,4,329,*,376,0,0
"The Theme from ""Flo-Jack""",n/a,m-flo,"Taku Takahashi, Verbal, Lisa",Hip Hop,93.00,93.00,IIDX,1st style,Yes,Yes,No,0,0,0,0,1,139,0,0,0,0,0,0,1,217,0,0,0,0
You Make Me,n/a,Monday Michiru,"Shinichi Osawa, Monday Michiru Sipiagin",Jazz House,109.00,109.00,IIDX,1st style,Yes,Yes,No,0,0,0,0,2,194,0,0,0,0,0,0,4,352,0,0,0,0
22DUNK,n/a,SLAKE,Takehiko Fujii,Techno,135.00,135.00,IIDX,1st style,No,No,No,0,0,3,265,4,323,5,329,0,0,3,333,5,334,5,329,0,0
5.1.1.,n/a,dj nagureo,Reo Nagumo,Piano Ambient,101.00,101.00,IIDX,1st style,No,No,No,1,70,2,99,6,511,10,786,0,0,1,99,7,511,10,796,0,0
Be in my paradise,n/a,JJ Company,Larry Dunn,Soul Classic Ballad,63.00,63.00,IIDX,1st style,Yes,No,No,0,0,1,117,2,148,0,0,0,0,1,139,2,150,0,0,0,0
celebrate,n/a,JJ Company,Larry Dunn,Soul Classic,134.00,134.00,IIDX,1st style,Yes,No,No,0,0,4,254,5,280,5,446,0,0,4,415,5,417,5,476,0,0
diving money,n/a,QUADRA,Hiroshi Watanabe,Drum'n'Bass,150.00,150.00,IIDX,1st style,Yes,No,No,0,0,1,131,2,197,0,0,0,0,2,147,4,242,5,324,0,0
Dr. LOVE,n/a,baby weapon feat. Asuka.M,"Keiichi Ueno, Asuka M.",Dance Pop,123.00,123.00,IIDX,1st style,No,No,No,1,122,2,204,3,261,4,290,0,0,3,259,4,321,0,0,0,0
