Song Name,Artist Name,Artist Credit,Genre,Lowest BPM,Highest BPM,Game Origin,Version,Removed ?,Licensed ?,Cover ?,SP-Beginner,SPB NC,SP-Normal,SPN NC,SP-Hyper,SPH NC,SP-Another,SPA NC,SP-Leggendaria,SPL NC,DP-Normal,DPN NC,DP-Hyper,DPH NC,DP-Another,DPA NC,DP-Leggendaria,DPL NC
been so long,m-flo,"Taku Takahashi, Verbal, Lisa",Japanese Hip Hop,96,96,IIDX,1st style,Yes,Yes,,n/a,n/a,n/a,n/a,3,210,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
The Rhyme Brokers,m-flo,"Taku Takahashi, Verbal, Lisa",Japanese Hip Hop,91,91,IIDX,1st style,Yes,Yes,,n/a,n/a,n/a,n/a,4,307,0,358,0,0,n/a,n/a,4,329,0,376,n/a,n/a
"The Theme from ""Flo-Jack""",m-flo,"Taku Takahashi, Verbal, Lisa",Hip Hop,93,93,IIDX,1st style,Yes,Yes,,n/a,n/a,n/a,n/a,1,139,n/a,n/a,n/a,n/a,n/a,n/a,1,217,n/a,n/a,n/a,n/a
You Make Me,Monday Michiru,"Shinichi Osawa, Monday Michiru Sipiagin",Jazz House,109,109,IIDX,1st style,Yes,Yes,,n/a,n/a,n/a,n/a,2,194,n/a,n/a,n/a,n/a,n/a,n/a,4,352,n/a,n/a,n/a,n/a
22DUNK,SLAKE,Takehiko Fujii,Techno,135,135,IIDX,1st style,No,No,,n/a,n/a,3,265,4,323,5,329,n/a,n/a,3,333,5,334,5,329,n/a,n/a
5.1.1.,dj nagureo,Reo Nagumo,Piano Ambient,101,101,IIDX,1st style,No,No,,1,70,2,99,6,511,10,786,n/a,n/a,1,99,7,511,10,796,n/a,n/a
Be in my paradise,JJ Company,Larry Dunn,Soul Classic Ballad,63,63,IIDX,1st style,Yes,No,,n/a,n/a,1,117,2,148,n/a,n/a,n/a,n/a,1,139,2,150,n/a,n/a,n/a,n/a
celebrate,JJ Company,Larry Dunn,Soul Classic,134,134,IIDX,1st style,Yes,No,,n/a,n/a,4,254,5,280,5,446,n/a,n/a,4,415,5,417,5,476,n/a,n/a
diving money,QUADRA,Hiroshi Watanabe,Drum'n'Bass,150,150,IIDX,1st style,Yes,No,,n/a,n/a,1,131,2,197,n/a,n/a,n/a,n/a,2,147,4,242,5,324,n/a,n/a
Dr. LOVE,baby weapon feat. Asuka.M,"Keiichi Ueno, Asuka M.",Dance Pop,123,123,IIDX,1st style,No,No,,1,122,2,204,3,261,4,290,n/a,n/a,3,259,4,321,n/a,n/a,n/a,n/a
g.m.d.,DJ mazinger featuring Muhammad,"Hiroshi Watanabe, Muhammad",Hip Hop,100,100,IIDX,1st style,Yes,No,,1,154,1,171,2,176,4,209,n/a,n/a,1,186,4,211,n/a,n/a,n/a,n/a
GAMBOL,SLAKE,Takehiko Fujii,Techno,102,102,IIDX,1st style,No,No,,1,88,2,137,2,137,n/a,n/a,n/a,n/a,2,137,2,137,n/a,n/a,n/a,n/a
GRADIUSIC CYBER,TAKA,Takayuki Ishikawa,Digi-Rock,160,167,IIDX,1st style,No,No,,3,372,5,442,6,508,7,609,n/a,n/a,4,409,9,556,9,631,n/a,n/a
LUV TO ME (disco mix),tiger YAMATO,Reo Nagumo,Euro Beat,154,154,IIDX,1st style,Yes,No,,3,269,5,450,6,469,7,501,n/a,n/a,4,463,8,506,11,591,n/a,n/a
Melt in my arms,Honey P feat. Asuka.M,"Keiichi Ueno, Asuka M.",Dance Pop,118,118,IIDX,1st style,Yes,No,,n/a,n/a,3,203,4,234,4,254,n/a,n/a,3,217,4,254,4,254,n/a,n/a
perfect free,nite system,Hiroshi Watanabe,House,130,130,IIDX,1st style,Yes,No,,n/a,n/a,2,254,3,268,0,356,n/a,n/a,2,306,3,321,0,329,n/a,n/a
Prince on a star,SPIRITUAL RIDE,Hiroshi Takeyasu,Alternative Rock,145,145,IIDX,1st style,Yes,No,,n/a,n/a,4,332,5,428,6,499,n/a,n/a,5,592,8,715,10,823,n/a,n/a
R3,tiger YAMATO,Reo Nagumo,Rave,157,157,IIDX,1st style,No,No,,2,165,4,330,5,368,6,454,n/a,n/a,4,384,6,392,8,475,n/a,n/a
special energy,DJ FX,Hiroshi Watanabe,Trance Techno,140,140,IIDX,1st style,Yes,No,,n/a,n/a,2,301,3,303,5,409,n/a,n/a,4,303,9,570,7,409,n/a,n/a
"20, November",dj nagureo,Reo Nagumo,House,130,130,BM,1st style,Yes,No,,2,253,4,410,8,698,8,629,n/a,n/a,6,503,10,723,9,759,n/a,n/a
Beginning of life,QUADRA,Hiroshi Watanabe,Ambient,110,110,BM,1st style,Yes,No,,n/a,n/a,1,57,2,80,3,96,n/a,n/a,1,99,2,115,n/a,n/a,n/a,n/a
Deep Clear Eyes,QUADRA,Hiroshi Watanabe,Drum'n'Bass,155,155,BM,1st style,Yes,No,,n/a,n/a,n/a,n/a,4,276,0,247,n/a,n/a,n/a,n/a,4,307,0,247,n/a,n/a
Do you love me?,reo-nagumo,Reo Nagumo,Ballad,100,100,BM,1st style,Yes,No,,n/a,n/a,n/a,n/a,4,155,n/a,n/a,n/a,n/a,n/a,n/a,4,252,n/a,n/a,n/a,n/a
e-motion,e.o.s.,Tomomi Ohta,Rave,145,145,BM,1st style,Yes,No,,1,50,2,96,3,96,4,192,n/a,n/a,2,123,2,123,4,246,n/a,n/a
jam jam reggae,jam master '73,Reo Nagumo,Reggae,90,90,BM,1st style,Yes,No,,n/a,n/a,n/a,n/a,1,60,0,139,n/a,n/a,n/a,n/a,1,76,0,141,n/a,n/a
LOVE SO GROOVY,LOVEMINTS,Hiroshi Takeyasu,Soul,141,141,BM,1st style,Yes,No,,n/a,n/a,n/a,n/a,3,169,n/a,n/a,n/a,n/a,n/a,n/a,3,227,n/a,n/a,n/a,n/a
OVERDOSER,MIRAK,Hiroshi Takeyasu,Techno,132,132,BM,1st style,Yes,No,,n/a,n/a,2,156,3,164,3,164,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,134,134,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,204,3,224,n/a,n/a,n/a,n/a
Salamander Beat Crush mix,nite system,Hiroshi Watanabe,Konamix,134,134,BM,1st style,Yes,No,,n/a,n/a,2,157,3,171,0,171,n/a,n/a,2,173,3,177,n/a,n/a,n/a,n/a
ska a go go,THE BALD HEADS,Hiroshi Takeyasu,Ska,144,160,BM,1st style,Yes,No,,n/a,n/a,n/a,n/a,5,359,0,456,n/a,n/a,n/a,n/a,5,514,0,575,n/a,n/a
into the world,QUADRA,Hiroshi Watanabe,World Groove,126,126,IIDX,1st style,Yes,No,,n/a,n/a,n/a,n/a,3,153,n/a,n/a,n/a,n/a,n/a,n/a,3,176,n/a,n/a,n/a,n/a
patsenner,dj nagureo,Reo Nagumo,Ambient Techno,108,108,IIDX,1st style,Yes,No,,n/a,n/a,3,352,5,393,n/a,n/a,n/a,n/a,3,398,5,407,n/a,n/a,n/a,n/a
Queen's Jamaica (astria mix),Crunky Boy featuring Muhammad,"Hiroshi Watanabe, Muhammad",Reggae,94,94,IIDX,1st style,Yes,No,,n/a,n/a,n/a,n/a,4,220,n/a,n/a,n/a,n/a,n/a,n/a,4,232,n/a,n/a,n/a,n/a
ちょっときいてな (ZANSHIN-NA MIX),Laugh & Peace,"Toshiyuki Kageyama, Kouichi Hirota",Drum'n'Bass,164,164,IIDX,substream,Yes,Yes,,n/a,n/a,n/a,n/a,4,318,n/a,n/a,n/a,n/a,n/a,n/a,4,341,n/a,n/a,n/a,n/a
gentle stress,DJ Swan,Keiichi Ueno,Drum'n'Bass,175,175,IIDX,substream,No,No,,2,148,2,172,4,342,9,728,n/a,n/a,3,198,5,327,8,772,n/a,n/a
Macho Gang,ANAL SPYDER,Keiichi Ueno,Tribal House,125,125,IIDX,substream,No,No,,n/a,n/a,2,191,7,548,10,837,n/a,n/a,3,262,11,836,11,846,n/a,n/a
THE EARTH LIGHT,L.E.D. LIGHT,Toshiyuki Kakuta,Trance,145,145,IIDX,substream,No,No,,3,236,4,398,7,530,8,581,10,725,5,456,10,718,7,581,n/a,n/a
deep in you,dj nagureo,Reo Nagumo,Dance Pop,126,126,IIDX,substream,No,No,,n/a,n/a,4,250,4,255,5,333,n/a,n/a,3,283,4,293,7,364,n/a,n/a
GENOM SCREAMS,L.E.D. LIGHT,Toshiyuki Kakuta,Trance,150,150,BM,substream,No,No,,1,122,3,211,6,417,9,536,n/a,n/a,3,211,6,417,9,538,n/a,n/a
NaHaNaHa vs.Gattchoon Battle,DJ Senda & Tiny-K,"Hiroyuki Togo, Mitsuo Nakano, Yasuo Watanabe",DJ Battle,124,163,BM,substream,Yes,No,,n/a,n/a,n/a,n/a,3,190,n/a,n/a,n/a,n/a,n/a,n/a,3,222,n/a,n/a,n/a,n/a
RUGGED ASH,SYMPHONIC DODGERS,Yasushi Kurobane,Future Jazz,168,168,BM,substream,No,No,,1,76,3,185,3,201,9,556,11,1058,3,186,4,201,9,624,12,1203
BRILLIANT 2U,NAOKI,Naoki Maeda,Euro Groove,150,150,DDR,substream,Yes,No,,n/a,n/a,3,270,4,330,4,362,n/a,n/a,3,288,5,363,n/a,n/a,n/a,n/a
KEEP ON MOVIN',N.M.R.,Naoki Maeda,Dance Pop,132,132,DDR,substream,No,No,,n/a,n/a,2,98,3,122,n/a,n/a,n/a,n/a,n/a,n/a,2,119,3,122,n/a,n/a
PARANOiA MAX (DIRTY MIX),190,Naoki Maeda,Jungle,190,190,DDR,substream,No,No,,2,265,5,280,6,376,8,562,n/a,n/a,3,280,6,406,9,581,n/a,n/a
Brazilian Rhyme,Satoru Shionoya + Satoshi Tomiie,"Satoshi Tomiie, Satoru Shionoya, Harumi Tsuyuzaki",House,127,127,IIDX,2nd style,Yes,Yes,,n/a,n/a,4,426,5,525,n/a,n/a,n/a,n/a,5,479,7,693,n/a,n/a,n/a,n/a
lovin' you,MONDAY MICHIRU,Shinichi Osawa,Jazz Drum'n'Bass,154,154,IIDX,2nd style,Yes,Yes,,n/a,n/a,3,294,4,323,n/a,n/a,n/a,n/a,3,293,4,325,n/a,n/a,n/a,n/a
Mirrorball Satellite 2012,m-flo,"Taku Takahashi, Verbal, Lisa",Hip Hop & Soul,103,103,IIDX,2nd style,Yes,Yes,,n/a,n/a,n/a,n/a,3,242,0,295,n/a,n/a,n/a,n/a,3,282,n/a,n/a,n/a,n/a
morning prayer,SILVA,Hirofumi Asamoto,Disco/House,124,124,IIDX,2nd style,Yes,Yes,,n/a,n/a,n/a,n/a,2,206,n/a,n/a,n/a,n/a,n/a,n/a,2,206,n/a,n/a,n/a,n/a
Shake,double,"TAKAKO, Ryosuke Imai",Japanese R&B,98,98,IIDX,2nd style,Yes,Yes,,n/a,n/a,n/a,n/a,2,286,0,318,n/a,n/a,n/a,n/a,2,314,0,320,n/a,n/a
S.O.S.,DR.BOMBAY,Jonny Jakobsen,Indie Euro,138,138,IIDX,2nd style,Yes,Yes,,n/a,n/a,4,376,6,640,n/a,n/a,n/a,n/a,4,530,6,911,n/a,n/a,n/a,n/a
